date,tweet
2020-01-30 18:59:51,Huge hire by $DBX from $googl  https://twitter.com/BNNBloomberg/status/1223013410041999365 …
2020-01-30 18:51:41,"Pounded 200 $googl @ 1468 -  a $25+ day tomorrow imo to ath - if not tomorrow, Monday. Also in feb7 1480c and 1500c"
2020-01-30 18:50:06,ん!?アドセンス広告が消えてる…まさか…ペナ…。いやスマホでは出てる。ん!?パソコンでもＦＦとＩＥは出てる。Googlだと出ない。キャッシュもクリアした…謎…。どうでもいいことが気になって進めないのはエンジニアの性かもしれん。#ブログ初心者 #ブログ戦隊カクサンジャー https://kgrneer.com/ 
2020-01-30 18:47:38,Microsoft Edgeは使い勝手は良いけれど、ブラック企業や見たくもない広告もある不要な広告は消すことが出来ない不便、googl+Edgeだから余計に個人情報も流出する可能性もある！！ 「Internet Explorer（IE）」と「Microsoft Edge」は何が違う？どっちを使えばいい？  https://koneta.nifty.com/koneta_detail/170519000294_1.htm …
2020-01-30 18:41:59,Your pissed you missed $AMZN earnings and didn’t buy calls ?  You think its over ?  Nah - Just join us.  We can still make some dime out of this pig tomorrow morning - Join us to learn how !   http://Bullishmatt.com  - Chatroom - Live Alerts - Training  $SPY $NFLX $LK $GOOGL $AAPL
2020-01-30 18:39:50,I've been called a #bearfucker 🥒🐻I'm a $TSLA $AAPL $AMZN $AMD $GOOGL 🐃 And just a really good Day Trader 👨🏽‍💻 #optionstrading #stockmarket #fulltime
2020-01-30 18:38:56,@smarter411 does the Amazon pop change your thoughts on Googl 1500 for next week? I'd assume premium will be 20 for that strike
2020-01-30 18:35:31,"Gotta know your numbers...no emotions, just analysis. 10am..markets are sinking. Math said otherwise..know what to trust, and trust what you know!!! Panic everywhere, Ice in my veins!!  $spy $spx $aapl $amzn $mu $amd $baba $fb $Nflx $googl $bac $jpm $wmt $hd $cost $dal $t $x $qqq pic.twitter.com/bCUXpDLtxM"
2020-01-30 18:34:07,Googl'd it. Appears to be true. Good to know.
2020-01-30 18:30:12,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/f0Rs30qc9JU  $NFLX $TSLA $AAPL $IBB $GS $FB $AMZN $GOOGL $NVDA
2020-01-30 18:28:37,Next earnings play is $GOOGL 👑💰🧠🎯💯🐲🚀🔑🤑🖥 #stockmarket #optionstrading
2020-01-30 18:10:44,Trillion dollar market caps : $AMZN $GOOGL $MSFT $AAPL & @Saudi_Aramco so who is next?
2020-01-30 18:08:35,Surprised it didn't open more ebulliently. I think there's a lot of uncertainty about a lot of things right now and no obvious positive catalysts beyond $GOOGL earnings.
2020-01-30 18:05:52,"After Hours Movers (down):  $V at $202 (-6.46) $AMGN at $221 (-5) $EA (-1.64)  After Hours Movers (Up)  $AMZN at $2077 (+207) $EW at $242 (+8) $VRTX at $241.5 (+11.5)  "" $SHOP $TEAM $NOW $TSLA $TTD $GOOGL $MDB "" All can move big tomorrow"
2020-01-30 18:05:35,$NVDA $GOOGL $XLNX $INTC #climatechange https://www.livemint.com/technology/tech-news/artificial-intelligence-ml-chip-in-to-fight-climate-change-protect-environment-11580399748370.html …
2020-01-30 18:04:19,@smarter411 any good lottos for googl er in monday Sam?
2020-01-30 18:03:02,"COUNTDOWN to the Test Drive Kickoff  Starts Monday, Feb. 3rd.  Test Drive Trade-Ideas Premium' features for 10 days via ⟶  https://buff.ly/2NhRHz0  📊 $BKNG $AMZN $BA $GOOGL $CSGP $TSLA $AAPL $HLT $TDG $SHOP pic.twitter.com/rKtX6AoJCI"
2020-01-30 18:01:08,Alphabet is the final FANG stock to report earnings. @cfromhertz breaks down bullish activity in the options market heading into the report. $GOOGL  pic.twitter.com/aqoTvVz5Yl
2020-01-30 18:00:21,SOLD (4) $GOOGL 1/31 1465c at 1.65 from 1.0 ( riding 2 free )  http://optionsashda.com  #stocks #options #OptionsTrading pic.twitter.com/rME14eEoIO
2020-01-30 17:58:00,"@Rock_Rogers How dumb is K-Fine, stupid lazy babble about her largest position $GOOGL what a waste of a mind, she could give a shyt what she says or what anybody hears or probably about anything."
2020-01-30 17:56:55,Berkshire Holding Amazon Rockets on 4th-Quarter Earnings Beat -  http://GuruFocus.com   https://www.gurufocus.com/news/1025048  $AMZN $AAPL $MSFT $GOOG $GOOGL $FCAU
2020-01-30 17:51:37,S&P500 +0.31% Russell2000 -0.06% SOX -0.16% DJT -0.66% HYG +0.10% STOXX600 -1.01% DAX -1.41% FTSE -1.36%  FB -6.14% AMZN +0.68% AAPL -0.14% NFLX +1.33% NVDA +0.11% MSFT +2.82% GOOGL -0.17% INTC +0.21%  pic.twitter.com/JmoAiRdiRh
2020-01-30 17:44:57,OK.Googlです。
2020-01-30 17:43:30,"I am tweeting to you from my new HP Chrome spybook that I got for ""free"" cashing in my United Miles... includes leg room unlike the planes...  $GOOG $GOOGL"
2020-01-30 17:36:10,$AMZN 2019 results' soundtrack for its conference call after today's results release  $SPY $MSFT $AAPL $GOOGL $NVDA $MU $ANET $NFLX $BABA  Tubthumping (I Get Knocked Down) Lyrics  https://youtu.be/LODkVkpaVQA  via @YouTube
2020-01-30 17:32:06,I mean googl. I thought googl would be up $35 already
2020-01-30 17:31:24,"Gains in software and e-commerce stocks today offset more weakness in many chip stocks, and Facebook. Thurs movers:   $CRWD +3.6% $MSFT +2.8 $AMD +2.7 $CRM +2.2 $ADBE +1.4 $EBAY +1.4 $AMZN +0.7 $PYPL +0.4 $INTC +0.2 $NVDA +0.1 $AAPL -0.1 $GOOGL -0.2 $MU -0.5 $FB -6.1  Nasdaq +0.3"
2020-01-30 17:30:57,All that artifical money has to go somewhere. Inflow into the monster stocks $AMZN $MSFT $GOOGL $AAPL and now even $TSLA is the path of least resistance.
2020-01-30 17:30:44,Joining both AAPL & GOOGL. Impressive.  https://twitter.com/CNBCnow/status/1222992111513088024 …
2020-01-30 17:30:17,2020-01-31 VOO   0.31% 年初来 1.79% VGT   0.80% 年初来 6.68% MSFT   2.82% 年初来 9.56% GOOGL   -0.17% 年初来 8.58% AAPL   -0.14% 年初来 10.29% FB   -6.14% 年初来 2.09% AMZN   0.68% 年初来 1.24% QD   -6.05% 年初来 -37.37%
2020-01-30 17:30:10,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/BPEd30qc9JR  $NFLX $TSLA $AAPL $JWN $GS $FB $AMZN $GOOGL $NVDA
2020-01-30 17:28:03,$FB $GOOG $GOOGL NEW ARTICLE : Better Buy: Facebook vs. Alphabet's Google  https://dashboard.stck.pro/news.php?ticker=FB&rowid=3442874 … Get all the latest $FB related news here :  https://dashboard.stck.pro/news.php?ticker=FB … pic.twitter.com/tTiEuiUYno
2020-01-30 17:19:01,"Alphabet Inc Class A (GOOGL) price at close, 2020-01-30, is 1454.25."
2020-01-30 17:16:54,"En tiempos de cepo y para novatos: $AMZN $APPL $MSFT y $GOOGL ya valen más de $1T. Se puede invertir en ellas en $ARS en la Bolsa de Buenos Aires vía CEDEARS. Tienen más que razonable liquidez, eliminan el riesgo cambiario y pagan dividendos en USD. Twitter es servicio!"
