date,tweet
2017-05-31 19:58:27,$DIS (cont)Everyone wants in on live $FB $AMZN $GOOGL but no one has platform to do this better than $TWTR which lacks ESPN firepower/deals
2017-05-31 19:57:45,ألفا بت googl
2017-05-31 19:55:38,"$FB at 14X, $GOOGL & $NFLX at 7X, $AMZN a ""bargain"" at 3.5X Sales... (latter compared to $WMT at 0.5X)  Median stock P/S ratio NEVER higher https://twitter.com/87spider/status/870056546415280128 …"
2017-05-31 19:30:01,Smartphone Duopoly Isn't Going Anywhere: 'Pick One And Get Used To It'  https://benzinga.com/z/9544777  $AAPL $GOOG $GOOGL  pic.twitter.com/qYpHG05in0
2017-05-31 19:13:49,$NFLX $AMZN $GOOGL $AAPL $FB 𝕎𝕀ℕ  █───█─█─█▄─█ █─█─█─█─█─▀█ ─▀─▀──▀─▀──▀ 💣 📺 💥   ⚡️⛓ 🖥📱 https://twitter.com/ahier/status/870050791041585153 …
2017-05-31 19:00:23,Googl trad mek 😂💅
2017-05-31 18:59:27,教えてGoogl先生
2017-05-31 18:58:35,"The smartphone is eventually going to die, and then things are going to get really crazy (AAPL, GOOG, GOOGL, MSFT)  https://lnkd.in/ebvwTzC "
2017-05-31 18:50:23,"Amazon Nearing $1,000 Signals End of Stock Splits (AMZN, GOOGL, MKL)  http://timely.32hours.com/2017/05/31/amazon-nearing-1000-signals-end-of-stock-splits-amzn-googl-mkl/ …"
2017-05-31 18:49:04,Seeing a bit of lack of leadership as quite a few of the growth names are lagging despite some 1000#s in $AMZN $GOOGL etc.
2017-05-31 18:44:09,"The $45,000-A-Client Life Coach With OCD Who Teaches Millionaires To Be Happy  http://dlvr.it/PHckRj  #NASDAQ_GOOGL #LON_BP #LON_RDSB pic.twitter.com/b0ZfJLyz3v"
2017-05-31 18:40:16,Meeker trends report points to mobile ad opportunity $GOOG $GOOGL $FB $SNAP http://www.seekingalpha.com/news/3270850 
2017-05-31 18:33:49,(๑･ิټ･ิ๑)
2017-05-31 18:29:36,"( http://Lesaffaires.com ) #Google lance #Android Pay au Canada : Google (Nasdaq, GOOGL) rattrape..  https://www.titrespresse.com/3559361701/google-android-pay-canada … pic.twitter.com/yXqii4WiV5"
2017-05-31 18:29:24,3 Hot Stocks to Buy in May  http://dlvr.it/PHcWYH  #GOOGL #AAPL #V pic.twitter.com/B2ifvSxE1m
2017-05-31 18:29:20,Everything We Know About the Google Driverless Car  http://dlvr.it/PHcWPx  #F #GOOGL #GM pic.twitter.com/Ua4kwEufWu
2017-05-31 18:29:16,This is true ....from @Hedgeye $PANW #FANG $AAPL $GOOGL $AMZN $NQ_F pic.twitter.com/RJDeQR3X1c
2017-05-31 18:28:39,"@MelissaLeeCNBC I didn't mean "" if they would buy steel""  I meant if they would buy a specific - oil, financials, FB, Googl, etc. not choose"
2017-05-31 18:28:38,Took my son to the skatepark and grabbed my chromebook to edit Dark Past only to realize I need wifi to use googl docs 😭😩
2017-05-31 18:24:46,$70 Billion? @Waymo $GOOG $GOOGL Worth More Than @TeslaMotors $TSLA (video)  http://www.domainmondo.com/2017/06/waymo-alphabets-self-driving-car-unit.html … #Waymo #startup #investors #investing
2017-05-31 18:20:59,"Stock Market Commentary For Thursday, Jun 01 - $OXY, $GOOGL, $MELI, $HPE, $AAP, $C, $RIG, $FB, $BABA, $BOX  http://crweworld.com/article/finance/75735/the-moskowitz-report-apctsla-bidu-prgo-regn-bac-cop-ibm-wb-biib-azo-wfc-psx-sig-aapl-sina-jill-panw-orly-gs-oxy-googl-meli-hpe-aap-c-rig-fb-baba-box-stock-market-commentary-for-thursday-jun-01-2017 …"
2017-05-31 18:20:03,"Waymo, Alphabet’s $GOOG $GOOGL Self-Driving Car Unit Worth $70 Billion? (video)  http://www.domainmondo.com/2017/06/waymo-alphabets-self-driving-car-unit.html … #VC #Waymo #autos #cars #startups pic.twitter.com/Wy9fOZnhrx"
2017-05-31 18:17:29,Alphabet Inc’s (GOOGL) Nest Is Back With Super-Smart Cam IQ  http://homeautomationhubs.com/alphabet-incs-googl-nest-back-super-smart-cam-iq/ … pic.twitter.com/rOYR0KEubk
2017-05-31 18:16:43,"$FB, $GOOG, $GOOGL - Arjuna Capital: Fearing Fake News Fix is Being Fumbled by Facebook and Google  http://crweworld.com/newsroom/prnewswire?rkey=20170531DC04629&filter=10284 …"
2017-05-31 18:15:04,ネットから消され始めた、深田萌絵を応援するBot。  Googlでは出ない情報は、サーグル: http://SAGOOL.jp/ で。 ブログ: http://fukadamoe.blog.fc2.com/  FB: https://www.facebook.com/fukadamoe/ 
2017-05-31 18:14:39,Update on the $GOOGL trade - Plus webinar tomorrow #Stocks #Trading  http://conta.cc/2som9L7  pic.twitter.com/WM1ayVbU3t
2017-05-31 18:14:28,"THE DIGITAL TRUST REPORT: Insight into user confidence in top social platforms (FB, GOOG, GOOGL, LNKD, TWTR, SNAP)  http://klou.tt/qg2936ssv86v "
2017-05-31 18:14:27,#MadTweets $SBAC $JBHT $NVDA $CLDR $GOOGL $OUSA diversified enough?
2017-05-31 18:13:06,$GOOGL  https://twitter.com/BluegrassCap/status/869970555029606400 …
2017-05-31 18:12:24, http://fb.me/Z0v3178m 
2017-05-31 18:11:40, http://fb.me/8EMrvIKvY 
2017-05-31 18:11:22,"RT sengineland: Zaha Hadid, the first woman to win the Pritzker Architecture Prize, is celebrated in today's Googl…  http://selnd.com/2qAVwWK "
2017-05-31 18:10:30,"TSLA Above $400? - Market Update by Vince Vora for May 31st, 2017 #stocks $AMZN $NFLX $GOOGL $FB $FANG $GS... http://youtu.be/WlcU_gKcRcQ?a "
2017-05-31 18:09:34,"A Geezer$ Alert :  GOOG,GOOGL: Meeker trends report points to mobile ad opportunity  https://goo.gl/fb/yLRDb9 "
2017-05-31 18:09:03,أستغفر الله العظيم وأتوب إليه ♻️  http://du3a.org/ 
2017-05-31 18:05:18,Meeker trends report points to mobile ad opportunity $GOOG $GOOGL $FB $SNAP $73B  http://www.seekingalpha.com/news/3270850 
2017-05-31 18:01:01, http://fb.me/1PoqF9UmP 
2017-05-31 17:58:17,【アプリ情報】 綾部がアプリに登場だ！ 今日から綾部のプロデューサーにならないか(о´∀`о)  くるたまアプリ AppStore  https://itunes.apple.com/us/app/kurutama/id1169861209?l=ja&ls=1&mt=8 … Googl
2017-05-31 17:55:06,Meeker trends report points to mobile ad opportunity  https://seekingalpha.com/news/3270850-meeker-trends-report-points-mobile-ad-opportunity?source=tweet … $GOOG $GOOGL $FB $SNAP
2017-05-31 17:48:31,Meeker trends report points to mobile ad opportunity #GOOG #AlphabetInc. $GOOG $GOOGL $FB $SNAP #wlst  https://seekingalpha.com/news/3270850-meeker-trends-report-points-mobile-ad-opportunity …
2017-05-31 17:48:31,Meeker trends report points to mobile ad opportunity  https://seekingalpha.com/news/3270850-meeker-trends-report-points-mobile-ad-opportunity?source=feed_f … $GOOG $GOOGL $FB $SNAP
2017-05-31 17:48:10,Google improves Gmail machine learning to thwart phishing attempts  https://seekingalpha.com/news/3270774-google-improves-gmail-machine-learning-thwart-phishing-attempts?source=tweet … $GOOG $GOOGL
2017-05-31 17:43:11, http://fb.me/2bowxxpCw 
2017-05-31 17:42:50, http://fb.me/ABXE1356 
2017-05-31 17:41:44, http://fb.me/2960Ahtzp 
2017-05-31 17:41:17,"THE DIGITAL TRUST REPORT: Insight into user confidence in top social platforms (FB, GOOG, GOOGL, LNKD, TWTR, SNAP)  http://buff.ly/2rUtp4H "
2017-05-31 17:41:00,"THE DIGITAL TRUST REPORT: Insight into user confidence in top social platforms (FB, GOOG, GOOGL, LNKD, TWTR, SNAP)  http://buff.ly/2rUtp4H "
2017-05-31 17:37:24,"I sold my $GOOGL shares, but I trust Google isn't lying about the privacy policy of the keyboard. I don't use the GIF or search features."
2017-05-31 17:23:33,اللهم ارحم موتانا وموتى المسلمين واجعل قبورهم روضة من رياض الجنة  http://d3waapp.org/ 
