date,tweet
2018-01-27 18:52:46,$amzn $baba $v $ma $googl $pypl https://mottcapitalmanagement.com/the/ 
2018-01-27 18:49:00,$AMZN AWS and Channel Check Data Has Got This Trading Pro Positioning Like So Ahead of Earnings   http://bit.ly/2DPjdjX  $GOOGL $AAPL #BITCOIN
2018-01-27 18:46:31,"Jan 26 Friday, $GOOGL closed $1,187.56"
2018-01-27 18:45:04,NOW OFFERING 7 Day FREE Trial to  options day trading team Room or $TWTR feed   http://ow.ly/oQCD30i1U29  $RH $AAPL $NFLX $TSLA $AMZN $GOOGL
2018-01-27 18:35:04,"【172-11】使用極わずか!!■Nexus/ネクサス 7■Wi-Fi タブレット■K008 ME571-16G■ASUS/エイスース■Googl... 現在価格:￥7,750円 #ヤフオク！  http://dlvr.it/QD0wnw "
2018-01-27 18:30:08,"These are the five leaders in the self-driving car race (GOOG, GOOGL, GM, F) #mobilemarketing  http://www.businessinsider.com/the-five-leaders-in-the-self-driving-car-race-2018-1 …"
2018-01-27 18:30:07,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/D1E030i1TR3  $NFLX $TSLA $AAPL $IBB $GS $FB $AMZN $GOOGL $NVDA
2018-01-27 18:19:20,usually if you get sandboxed on GOOGL from a page 1 ranking you end up at page 10. But if it happens again you basically disappear.    Crazy concept but legit marketing works while shady stuff may work for a time but then gets slayed by the internet Gods overnight.
2018-01-27 18:17:19,"La próxima semana se presentan resultados de empresas muy importantes, si son buenos la bolsa seguirá subiendo: $AAPL $FB $AMZN $AMD $MSFT $PYPL $GOOGL $V $PFE $ALGN $MA $EBAY $GPRO En mi cartera: $BABA $BA y $AKS #bolsa #earnings"
2018-01-27 18:17:02,short % to float of $RHT is 1.42 at 2018-01-12  http://sunshineavenue.com/stock/RHT/  $GOOGL 0.43% $ORCL 1.13% $VMW 5.89% $HPQ 1.42%
2018-01-27 18:15:41,"These are the five leaders in the self-driving car race (GOOG, GOOGL, GM, F)  http://read.bi/2rnqBOA  pic.twitter.com/u6e2LFeVte"
2018-01-27 18:14:33,Microsoft Corporation Ready for Another Earnings Pop $MSFT @microsoft $AAPL $GOOGL  http://bit.ly/2Eievco  pic.twitter.com/IQQKr86fkk
2018-01-27 18:11:18,The key to bitcoin’s next breakout may lie in Google search  http://cnb.cx/2DDY356  $GOOG $GOOGL $BTC.X $BTCUSD $BTCEUR $BTC_F $GBTC
2018-01-27 18:06:50,"These are the five leaders in the self-driving car race (GOOG, GOOGL, GM, F) GM #Tech companies and auto companies are all racing to be the first to roll out self-driving cars onto the road. The stakes are high for everyone ...  http://www.moneyhealthfinance.com/these-are-the-five-leaders-in-the-self-driving-car-race-goog-googl-gm-f/ … #finance #bigdata #business pic.twitter.com/aUc7nU8M4f"
2018-01-27 18:06:06,"These are the five leaders in the self-driving car race (GOOG, GOOGL, GM, F) GM #Tech companies and auto companies are all racing to be the first to roll out self-driving cars onto the road. The stakes are high for everyone invo...  http://www.moneyhealthfinance.com/these-are-the-five-leaders-in-the-self-driving-car-race-goog-googl-gm-f/ … #iot #bigdata #business pic.twitter.com/1XCtFMpZBE"
2018-01-27 18:02:08,"якщо адєССка совкова більшість ітак говорить каССапским язЬІком  без словника ,то могла б хоча би меню надрукувати через googl-перекладач державною мовою. чи їм так хочеться назад в каССапию-ссср  де 0,5 по 3.62 + три години в черзі по талонам?"
2018-01-27 18:01:25,"These are the five leaders in the self-driving car race (GOOG, GOOGL, GM, F)  http://www.moneyhealthfinance.com/these-are-the-five-leaders-in-the-self-driving-car-race-goog-googl-gm-f/ … pic.twitter.com/3XxBgUTdjj"
2018-01-27 18:00:08,"미국 디지털 광고 업계를 주름잡는 삼총사: 구글 (GOOGL), 페이스북 (FB), 마이크로소프트 (MSFT)  https://buff.ly/2EbpsMJ "
2018-01-27 17:45:04,"REAL TIME TRADE ALERTS via PRIVATE $TWTR FEED, perfect for people who have FT jobs and trade part-time! $AMZN $NFLX $GOOGL $BABA $C $FB"
2018-01-27 17:30:08,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/1h6e30i1TR0  $NFLX $TSLA $AAPL $JWN $GS $FB $AMZN $GOOGL $NVDA
2018-01-27 17:15:04,NOW OFFERING 7 Day FREE Trial to  options day trading team Room or $TWTR feed   http://ow.ly/5xvt30i1U26  $FB $AAPL $NFLX $TSLA $AMZN $GOOGL
2018-01-27 17:00:37,"Amazon and Google are about to step up their war for the future of technology (AMZN, GOOG, GOOGL) #marketing  http://cmun.it/1bi1lvf0  - 🚀 Grow your followers with  https://commun.it/growth/?tc=n&aid=content_11 …"
2018-01-27 17:00:20,"Amazon and Google are about to step up their war for the future of technology (AMZN, GOOG, GOOGL) #marketing  http://cmun.it/drmt59b  - 🚀 Grow your followers by posting better content  https://commun.it/growth/?tc=n&aid=content_13 …"
2018-01-27 17:00:17,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at  http://ow.ly/fmOF30i1TQZ  $NVDA $TSLA $GS $REGN $BAC $GOOGL $FB
2018-01-27 16:54:58,"AI just keeps getting better and better. #stocks $IBM, $GOOGL, $NVDA, $GOOG, $BABA https://www.fool.com/investing/2018/01/27/machines-just-beat-humans-at-reading-yet-another-r.aspx …"
