date,tweet
2017-06-13 19:54:03, http://fb.me/86DSY2TvS 
2017-06-13 19:50:25,"Early movers: JNJ, GOOGL, MRK, IMAX, SYNA, ED & more  http://ewallstreeter.com/early-movers-jnj-googl-mrk-imax-syna-ed-more-3807 …"
2017-06-13 19:42:29,"Verizon Closes Yahoo, Many Changes Ahead For Its Consolidated Media Services Subsidiary:  http://ow.ly/y9hf30czrPf  $VZ $AOL $GOOGL $MSFT $T"
2017-06-13 19:33:39,"Dow up 92 points, Techs rebound led by $TSLA $AMZN $GOOGL Chart and Video  https://www.pscp.tv/NaviAvatar "
2017-06-13 19:21:00,Will The Worlds 6 Most Famous Tech Stocks Land In The Green For June? $QQQ $TSLA $FB $AMZN $AAPL $NFLX $GOOG $GOOGL  http://buff.ly/2spxPkO 
2017-06-13 19:00:06,Trade Alphabet Inc (GOOGL) Stock to Create Income out of Thin Air  http://bit.ly/2rfEcD3  @investorplace
2017-06-13 18:53:00,"84% Chance - Market Update by Vince Vora for June 13th, 2017 #stocks $GOOGL $FB $AAPL $TLT $AMZN $NFLX http://youtu.be/19sMeBjsOhc?a "
2017-06-13 18:47:40,$GOOGL  pic.twitter.com/iNNI2um0SZ
2017-06-13 18:44:46,7 Autonomous Car Stocks to Buy for Big Future Gains  http://bit.ly/2s8mjau  $GOOGL $BBRY $QCOM $NVDA $INTC $TSLA $UBER
2017-06-13 18:44:31,"Uber CEO Travis Kalanick Takes Leave, Return Date Unknown  http://bit.ly/130617UBER  $UBER $GM $FB $GOOG $GOOGL"
2017-06-13 18:42:25,Google's Pixel Phone Apparently Hits 1 Million Units  http://bit.ly/2sZQf8X  $GOOG $GOOGL  pic.twitter.com/TArfRiPyfL
2017-06-13 18:31:06,3 Large-Cap Stocks for Aspiring Investors --  The Motley Fool #stocks $GOOGL $DIS $EEP  https://www.fool.com/investing/2017/06/13/3-large-cap-stocks-for-aspiring-investors.aspx … pic.twitter.com/o6h6LzMV7x
2017-06-13 18:29:37,Googles Pixel Phone Apparently Hits 1 Million Units --  The Motley Fool #stocks $GOOGL  https://www.fool.com/investing/2017/06/13/googles-pixel-phone-apparently-hits-1-million-unit.aspx … pic.twitter.com/pmuxyEZXtg
2017-06-13 18:24:48,Track curated news and tweets for multiple tickers - US Tech Giants  http://www.comparespreadbetting.com/compare?name=US%20Tech%20Giants … $AAPL $GOOGL $MSFT $FB
2017-06-13 18:17:04,$TSLA $SPY $QQQ $NVDA $AMZN $GOOGL  How every Bull feels right now LMAO #stocks #stockmarket #options #trump - Sorry bears 🐻  https://twitter.com/northmantrader/status/874313037381029889 …
2017-06-13 18:07:12,Confused By Tech? Consider These Long-Term Winners | $ADBE $AAPL $GOOG $GOOGL $MSFT http://buff.ly/2rsoKm9 
2017-06-13 17:58:06,3 Large-Cap Stocks for Aspiring Investors  http://bit.ly/2tj8VzR  $GOOG $GOOGL $DIS $EEP
2017-06-13 17:55:11,7 Autonomous Car Stocks to Buy for Big Future Gains  http://bit.ly/2rf7S3f  @investorplace $GOOGL $GOOG $AAPL $NVDA $TSLA $BBRY $INTC $QCOM
2017-06-13 17:51:03,Move Over FAANGs: China Tech #Stocks And #ETFs Are The Hottest $FB $AAPL $NFLX $AMZN $GOOGL $TCEHY $BABA $JD $CQQ...  https://goo.gl/ykQzY3 
2017-06-13 17:46:49,$googl quit the mini autonomous driver pod... $aapl
2017-06-13 17:45:52,Verizon takes over Yahoo to complete $4.5 billion deal $VZ $GOOGL $YHOO  https://www.barchart.com/social/share?t=Verizon%20takes%20over%20Yahoo%20to%20complete%20%244.5%20billion%20deal&d=SAN%20FRANCISCO%20(AP)%20%E2%80%94%20Verizon%20has%20taken%20over%20Yahoo%2C%20completing%20a%20%244.5%20billion%20deal%20that%20will%20usher%20in%20a%20new%20management%20team%20to%20attempt%20to%20wring%20more%20advertising%20revenue%20from%20one%20of%20the%20internet's%20best-...&i= https%3A%2F%2Fs3.amazonaws.com%2Fbarchart-news-media%2Fap%2F201889520d304375aefd4937fb524444%2Fab13c0a851d84a6ca74bfc851c71abfe_verizon-yahoo_82245.jpg&r= https%3A%2F%2Fwww.barchart.com%2Fnews%2Ftop-stories%23%2Fnews%2F2724672%2Fverizon-takes-over-yahoo-to-complete-45-billion-deal&du=false … via @Barchart
2017-06-13 17:45:32,Apple Laughs At Google's Pixel Flop @applenws @android  https://seekingalpha.com/article/4081216-apple-laughs-googles-pixel-flop?source=tweet … $GOOG $GOOGL $AAPL
2017-06-13 17:44:40,سبحان الله وبحمده عدد خلقه ورضا نفسه وزنة عرشه ومداد كلماته ♻️  http://du3a.org/ 
2017-06-13 17:42:57,"Want Google Assistant now instead of waiting for it to arrive? Here's how to do it As we told you last week, Googl  http://rviv.ly/qhZVx "
2017-06-13 17:31:00,@petenajarian FANGMAN meets the BAT....  $FB; $AMZN; $NFLX; $GOOGL; $MSFT; $AAPL; $NVDA meets $BABA; $ADBE; $TSLA
2017-06-13 17:22:45,Apple Laughs At Google's Pixel Flop  https://seekingalpha.com/article/4081216-apple-laughs-googles-pixel-flop?source=tweet … $GOOG $GOOGL $AAPL
