date,tweet
2018-06-25 19:39:12,Dow Down 328 $AAPL $AMZN $TSLA $GOOGL $TWTR $Sq $FB $NFLX  https://www.pscp.tv/w/bgF0oDQ1NDk4MjV8MWt2SnBhWVZuTGR4RZ80LiJnQAGztIrc-CvfYtFKelye2HfR31aINmyvAMjA …
2018-06-25 19:37:14,"Tech: Here's where Google's first 21 employees are now (GOOG, GOOGL)  http://www.stuntfm.com/tech-heres-where-googles-first-21-employees-are-now-goog-googl/ … pic.twitter.com/nyLKaDij6f"
2018-06-25 19:37:11,"Tech: Here's where Google's first 21 employees are now (GOOG, GOOGL)  http://www.stuntfm.com/tech-heres-where-googles-first-21-employees-are-now-goog-googl/ … pic.twitter.com/nCnUwo8H47"
2018-06-25 19:34:26,Dow drops 328 points as Trade War heats up. $AMZN $GOOGL drop as $TSLA stays strong. Live https://www.pscp.tv/Naviavatar 
2018-06-25 19:30:09,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/qWlA30kDIlT  $NFLX $TSLA $AAPL $TWTR $GS $FB $AMZN $GOOGL $NVDA
2018-06-25 19:28:30,"Google’s $550 Million Investment in  http://JD.com  Could Be a Game-Changer @themotleyfool #stocks $GOOGL, $GOOG, $AMZN, $JD, $BABA https://www.fool.com/investing/2018/06/25/googles-550-million-investment-in-jdcom-could-be-a.aspx …"
2018-06-25 19:25:05,"With past performance like this, how can you not sign up for a Free 7-day trial to  http://ow.ly/CUFT30kDJbI ? Winning Option Swing Trades Since 2006  $BABA $GOOGL $TSLA $BIDU"
2018-06-25 19:15:05,"REAL TIME TRADE ALERTS via PRIVATE $TWTR FEED, perfect for people who have FT jobs and trade part-time! $AMZN $NFLX $GOOGL $WIX $GS $FB"
2018-06-25 19:08:42,【推奨サイズまとめ】 #Facebook #Twitter #YouTube #Googl+ #Instagram の各プラットホームごとの #画像サイズ https://wp.me/p7f6EK-2yI 
2018-06-25 19:03:59,"Tech: Here’s where Google’s first 21 employees are now (GOOG, GOOGL)  http://www.clintgist.com/heres-where-googles-first-21-employees-are-now-goog-googl-id7594344-html/ … pic.twitter.com/MwOMwgrUly"
2018-06-25 19:03:05,"Heres where Googles first 21 employees are now (GOOG, GOOGL) (Avery Hartmans/Business Insider: Tech)  http://dlvr.it/QYVjsx "
2018-06-25 19:00:30,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at  http://ow.ly/eLdq30kDIlS  $NVDA $TSLA $GS $C $WFC $GOOGL $FB
2018-06-25 19:00:19,"Sellers Strike Again - Market Update June 25th, 2018 $DIA $SPY $QQQ $IWM $TLT $NFLX $FB $AMZN $AAPL $GOOGL  http://youtu.be/8obEDJK7UG8?a "
2018-06-25 18:54:44,Also $GOOGL bounced off exactly at your 61.8% fib level at 1118. Accurate as usual sir! Thanks for all your sharing.
2018-06-25 18:51:10,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://buff.ly/2yJT7xy "
2018-06-25 18:50:57,$GOOGL $GOOG $FB  https://seekingalpha.com/article/4183823-youtube-instagram-go-war?source=tweet … https://seekingalpha.com/article/4183823-youtube-instagram-go-war …
2018-06-25 18:47:01,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://buff.ly/2yJT7xy "
2018-06-25 18:45:04,NOW OFFERING 7 Day FREE Trial to  options day trading team Room or $TWTR feed   http://ow.ly/c5y230kDIFZ  $RH $AAPL $NFLX $TSLA $AMZN $GOOGL
2018-06-25 18:42:05,GOOGL LONG $GOOGL  http://www.tradingview.com/chart/GOOGL/mLgQCM3m-GOOGL-LONG/ …
2018-06-25 18:31:40,Trade Rhetoric Produce Profit Taking -  https://go.shr.lc/2MWOCCI  $SPY $DIA $QQQ $USO $XLE $NFLX $NVDA $INTC $V $MA $AMZN $FB $GOOGL $BA $CSCO $MSFT $ADBE $AAPL #stocks #earnings #StockMarket #CNBC #TradeWar
2018-06-25 18:30:40,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://ift.tt/2fz3HcD "
2018-06-25 18:30:11,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/7uUA30kDIlP  $NFLX $TSLA $AAPL $IBB $GS $FB $AMZN $GOOGL $NVDA
2018-06-25 18:30:00,"Trade War Could Trigger Global Recession, China and Europe Warn  https://stockboardasset.com/insights-and-research/trade-war-could-trigger-global-recession-china-and-europe-warn/ … $AMZN $FB $NFLX $GOOGL"
2018-06-25 18:29:21,"Tech: Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://www.naijadad.com.ng/tech-heres-where-googles-first-21-employees-are-now-goog-googl/ … pic.twitter.com/vlUV3Hg4bl"
2018-06-25 18:28:50,How to enable Continued Conversations for your Google Home speakers- https://www.cnet.com/how-to/how-to-enable-continued-conversations-for-your-google-home-speakers/ … #GoogleHome #Google #GoogleHomeSpeakers #GoogleHomeSpeaker #ContinuedConversations #ContinuedConversation #GoogleHomeSpeakerContinuedConversation #Googl #HowTo #Speakers #Speaker $Googl
2018-06-25 18:28:20,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://ift.tt/2fz3HcD "
2018-06-25 18:26:20,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://cyberageonline.com/heres-where-googles-first-21-employees-are-now-goog-googl/ …"
2018-06-25 18:26:19,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://cyberageonline.com/heres-where-googles-first-21-employees-are-now-goog-googl/ …"
2018-06-25 18:26:18,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://cyberageonline.com/heres-where-googles-first-21-employees-are-now-goog-googl/ …"
2018-06-25 18:26:16,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://cyberageonline.com/heres-where-googles-first-21-employees-are-now-goog-googl/ …"
2018-06-25 18:26:15,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://cyberageonline.com/heres-where-googles-first-21-employees-are-now-goog-googl/ …"
2018-06-25 18:25:08,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  http://dlvr.it/QYVbxg  pic.twitter.com/8Qk153SD6l"
2018-06-25 18:24:37,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  http://dlvr.it/QYVbk4 "
2018-06-25 18:23:09,Alphabet Inc. (GOOGL) Dips 2.57% for June 25   #TrendingStory #TechTitans #CSuite #TechCompanyNews  Link:  https://www.equities.com/news/alphabet-inc-googl-dips-2-57-for-june-25 …  Ref:
2018-06-25 18:22:26,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  pic.twitter.com/DVhwBH94JN"
2018-06-25 18:16:59,"Tech: Here's where Google's first 21 employees are now (GOOG, GOOGL)  http://excelsblog.com/2018/06/25/tech-heres-where-googles-first-21-employees-are-now-goog-googl/ … pic.twitter.com/p0fsV2lxow"
2018-06-25 18:15:39,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://read.bi/2KkZPLF  #tech #business #success pic.twitter.com/CTh3te50OU"
2018-06-25 18:13:51,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://read.bi/2hpmtpd "
2018-06-25 18:13:18,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://ift.tt/2fz3HcD "
2018-06-25 18:12:18,"10 Things To Know. Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://ift.tt/2fz3HcD "
2018-06-25 18:12:14,What would you say is the most profitable stock or etf to play on down days? Individual stocks seems to pay way more than ETFs. $SPY $QQQ $GOOGL
2018-06-25 18:12:12,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://ift.tt/2fz3HcD  johnangel1977"
2018-06-25 18:12:11,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  pic.twitter.com/rXfCNKoqDO"
2018-06-25 18:11:28,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  https://ift.tt/2fz3HcD "
2018-06-25 18:10:40,"Here's where Google's first 21 employees are now (GOOG, GOOGL)  http://dlvr.it/QYVYSv "
2018-06-25 18:09:46,MKT craters  hard  c am in w  lot of googl   they all go to effectively 0  but sam but tsla up 1  fast   spx  puts up non stop loads  tons of  nflx puts  covets  all call and rip to a huge up day  LOL  only 1  SAM  simple
2018-06-25 17:55:20,The Waymo Tesla Self Driving Con $GOOGL $TSLA  https://goo.gl/M7Y4nD 
2018-06-25 17:48:22,$T is not good at wasting time. June 14 - TW deal close. June 21 - WatchTV announced. June 25 - AppNexus deal announced. Platforms smaller than $GOOGL $FB might not be able to compete with duopoly but $T + AppNexus makes sure these two can't sit pretty ESP as all video go digital pic.twitter.com/PRZvpg0Cky
2018-06-25 17:45:05,"REAL TIME TRADE ALERTS via PRIVATE $TWTR FEED, perfect for people who have FT jobs and trade part-time! $AMZN $NFLX $GOOGL $BABA $C $FB"
2018-06-25 17:35:10,"During today's somewhat expected sell off, I am impressed by the relative strength of some of the names I held. I'm on alert to confirming a bottom to add to longs. If you haven't executed the newsletter trades, tomorrow isn't a bad day. $SPX $RUT $EWZ $EEM $CELG $GLD $SLV $GOOGL"
2018-06-25 17:30:10,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/Em5T30kDIlN  $NFLX $TSLA $AAPL $JWN $GS $FB $AMZN $GOOGL $NVDA
2018-06-25 17:28:07,InvestorPlace Stock Market News Stock Advice amp Trading Tips Apple 160 NASDAQ AAPL 160 now joins Twitter NYSE TWTR Facebook NASDAQ FB 160 and Alphabet NASDAQ GOOGL 160 in Source: NASDAQ...  https://www.applevod.com/apple-prohibits-cryptocurrency-ads-and-mining-on-ios-devices/ …
2018-06-25 17:25:56,Who can name the crown jewel in FAANG? $GOOGL $FB
2018-06-25 17:25:16,bonding with mom and son : googl/pZdK41   http://breemmajem.pro/r.php?fa&uc=k_u6nt&v=32054345 …   Katrina kaif sexy hot free videos 3gp xxx aish sexy com incest real video free of charge xnxx acctress of bollywood homemade nadine jansen fuckiing movies klitor porn mom familyho
2018-06-25 17:22:43,Me on my $GOOGL trade. Sold my put on Friday. Should have stayed in the trade  pic.twitter.com/WFw2oZgwWo
2018-06-25 17:15:05,NOW OFFERING 7 Day FREE Trial to  options day trading team Room or $TWTR feed   http://ow.ly/Mqjx30kDIFR  $FB $AAPL $NFLX $TSLA $AMZN $GOOGL
2018-06-25 17:11:47,or is this just his punishment for never buying amzn and googl?
2018-06-25 17:04:20,"Alphabet Inc.(""Google"") - Class A (GOOGL) price at close, 2018-06-25, is 1125.5699."
2018-06-25 17:02:31,"Alphabet Inc.(""Google"") - Class A (GOOGL) price at close, 2018-06-25, is 1125.5699."
2018-06-25 17:02:21,Les élus de Gaillon dans l'Eure refusent l'installation du compteur Linky   https://search.app.goo.gl/MBHv3o   Partagé à partir de mon fil d'actu Googl
2018-06-25 17:01:42,"Alphabet Inc.(""Google"") - Class A (GOOGL) price at close, 2018-06-25, is 1125.5699.  pic.twitter.com/xVMAgAUQiG"
2018-06-25 17:00:49,"Alphabet Inc.(""Google"") - Class A (GOOGL) price at close, 2018-06-25, is 1125.5699 USD. #Stocks #Google #GOOGL"
2018-06-25 17:00:39,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at  http://ow.ly/VpKo30kDIlM  $NVDA $TSLA $GS $REGN $BAC $GOOGL $FB
2018-06-25 16:59:13,#Options #maxpain chart for $GOOGL. Free options app  http://www.mobileinteractive.com/superstocks  pic.twitter.com/xZsQhOJNdG
2018-06-25 16:57:38,"I've spoken up to #savelodgehill. If it's built on, every protected wildlife site will be at risk from development too - add your voice:  https://goo.gl/QhjAhz "
2018-06-25 16:54:37,#Stocks Get #Crushed on June 25 as Risk Turns Off - For Now!  https://mottcapitalmanagement.com/stocks-get-crushed-on-june-25-as-risk-turns-off-for-now/ … via @jay110429 $amzn $nflx $googl $aapl $tsla $v $spy $intc $nvda $BA
2018-06-25 16:48:24,$Dow closed down 300 and investors confidence has been shaken. Tomorrow could be a great day if trump stops threatening tarrifs. $tsla $googl $amzn $fb $aapl
2018-06-25 16:35:00,Markets Still Spooked By Trade Fears; Tech Sector Leads Stocks Lower  https://benzinga.com/z/11930864  $SPY $DJIA $QQQ $AMZN $FB $NFLX $GOOGL $INTC
2018-06-25 16:32:14,"Surprised you say this. May be on daily, a much warranted pullback. Go back to $AMZN $GOOGL weekly charts - all I see is a 10 EMA tag. Longer term charts often weed out noise from what one sees on shorter term charts."
2018-06-25 16:30:13,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/BFII30kDIlL  $NFLX $TSLA $AAPL $BIDU $GS $FB $AMZN $GOOGL $NVDA
2018-06-25 16:28:43,googl - #GOOGL chart  http://www.tradingview.com/chart/GOOGL/qb8EN8oQ-googl/ …
2018-06-25 16:18:14,"Most do.t have China exposure either. If it was all China, why were $GOOGL $NFLX $FB all hammered? They don't have China exposure. https://twitter.com/jennyhongm/status/1011342513876230146 …"
2018-06-25 16:18:11,What a nice move off the bottom on amzn and googl
2018-06-25 16:15:06,"Access curated tweets- high relevancy, less spam - US Tech Giants  http://www.comparespreadbetting.com/compare?name=US%20Tech%20Giants … $AAPL $GOOGL $MSFT $FB"
2018-06-25 16:15:06,"REAL TIME TRADE ALERTS via PRIVATE $TWTR FEED, perfect for people who have FT jobs and trade part-time! $AMZN $NFLX $GOOGL $BIIB $GS $FB"
2018-06-25 16:13:14,"$googl #google #Nasdaq excelente cierre para que tenga vida, vuelvo al optimismo. haciendo soporte dinamico en una vieja resistencia tambien dinamica pic.twitter.com/3ze49ODca2"
2018-06-25 16:10:05,markets are taking this statement as a positive $SPY $GOOGL  https://twitter.com/DeItaOne/status/1011332273868869635 …
2018-06-25 16:06:08,Today's million dollar PUT #options trade: $AAPL $AEP $AMZN $FB $GOOGL $GOOG $IQ $JBLU $NFLX $NVDA $QQQ $SBUX $SMH $SPY $TSLA $BABA $JD $OLED $AMD $IWM ... https://appsto.re/i6hH3LG 
2018-06-25 16:06:04,Today's million dollar CALL #options trade: $AAOI $AAPL $AA $ABMD $ADBE $ALGN $AMD $AMZN $ANET $BAC $BA $BZUN $CRUS $C $EBAY $FB $GOOGL $INTU $JNJ $LL ...  https://appsto.re/i6hH3LG 
2018-06-25 16:03:49,$GOOGL they buyers stepped in at the 200 day on the hourly chart. Hammered it!!!
2018-06-25 16:02:25,$GOOGL close was 1139.28. Add was at 1125.20.  https://stocktwits.com/SunAndStorm/message/128167571 …
2018-06-25 16:00:44,251 Profit-Packed Option Trades Yearly--Delivered to Your Inbox Daily--FREE!  http://ow.ly/uSe730kDIlK  $BABA $GOOGL $TSLA $BIDU
2018-06-25 15:58:27,today was a beautiful day for dollar cost averaging.  3M worth of GOOGL!
2018-06-25 15:57:43,bot GOOGL shares and MSFT July 97.50 calls $3.40
2018-06-25 15:57:40,$GOOGL fighting to get back into today's OR. Massive buying into the close. #Navarro saved the day. @larry_kudlow must stiLl be under the weather.
2018-06-25 15:53:00,"Here are the 26 top tech CEOs of 2018, according to the employees who work for them (AAPL, FB, GOOGL, MSFT)  http://bit.ly/2KgpLb7 "
2018-06-25 15:45:06,NOW OFFERING 7 Day FREE Trial to  options day trading team Room or $TWTR feed   http://ow.ly/8mVC30kDIFN  $CELG $AAPL $NFLX $TSLA $AMZN $GOOGL
2018-06-25 15:43:42,"the markets are liking what Navarro is saying, $SPY $GOOGL $DJIA all bouncing nicely"
2018-06-25 15:42:11,$GOOGL $GOOG $FB https://seekingalpha.com/article/4183823-youtube-instagram-go-war?source=feed_f …
2018-06-25 15:40:58,"GOOGL - trade update! Out of the 29Jun18 1140 puts for this week. Entry was last week @ 3.00 and we were selling them all the way into the mid 20’s! $3k position earned over $7,500 #PROFIT…  https://www.instagram.com/p/BkdagyFBfoT/?utm_source=ig_twitter_share&igshid=jtd16h6ys84k …"
2018-06-25 15:38:41,"yes, there are many...googl pivot points"
2018-06-25 15:38:14,$GOOGL short term rounded bottom look on 15 mins.
2018-06-25 15:37:02,$AAPL $GOOGL $NFLX $SPY $QQQ https://seekingalpha.com/article/4183600-howard-marks-back-wants-talk-etfs-passive-investing-investing-without-people?source=tweet …
2018-06-25 15:30:17,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/18MX30kDIkO  $NFLX $TSLA $AAPL $PCLN $GS $FB $AMZN $GOOGL $NVDA
2018-06-25 15:26:57,"I don't trade with China, and wonder how much AMZN GOOGL NFLX do"
2018-06-25 15:21:24,Call me crazy but I bought several calls — spy googl amzn Tsla let’s see people.
2018-06-25 15:20:47,Can ROKU Make it Back Above $50? $ROKU @rokuplayer  http://bit.ly/2yDN1ys  $AMZN $GOOGL $AAPL
