date,tweet
2019-02-23 18:49:09,"$ATTU's $560M sale to @thomabravo's @qlik could draw challenges from tech heavyweights such as $AMZN, $GOOGL or $MSFT, to name a few, Needham's Jack Andrews tells @nolter.  https://pipeline.thedeal.com/article/14875227/index.dl … pic.twitter.com/t181kTEIoV"
2019-02-23 18:41:42,"on phones as 'magical objects' (cc: $AAPL, $SMSN, $GOOGL)  pic.twitter.com/Gwfq2gOlXz"
2019-02-23 18:30:06,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/kunc30nMeXb  $NFLX $TSLA $AAPL $IBB $GS $FB $AMZN $GOOGL $NVDA
2019-02-23 18:25:41,"Crazy story of how one options trader made $2.4 million in 28 minutes  https://bit.ly/2XjcJ3K   .   Friday after hours trading was super boring... $SPY / $SPX and $QQQ / $NDX both +0.05%. While: $FB -0.02%, $AMZN -0.03%, $NFLX 0.00%, $GOOGL -0.07% Reminder $VIX fell-4.38% that day"
2019-02-23 18:23:31,Indices Outpace Large Cap Stocks $AAPL $AMZN $MSFT $GOOGL  https://goo.gl/kPdLtb 
2019-02-23 18:20:03,thank yo u i cooked it with googl e
2019-02-23 18:04:52,4x4' Ultimate' Extreme FAIL / WIN 2018 - 2019 [#4] Compilation [Baach Tv 4x4]  ➤[ALL Help Me 20.000 Subscribers]✔ ➤[Subscribe my Channel] ✔ ➤[ Please LIKE AND Share Video] ✔ ➤[GOOGL+ https://plus.google.com/104837661874791062127 …✅ ➤[my mail: www.bachijurxa…  https://ift.tt/2VilQjs  pic.twitter.com/9yUMYgmA1g
2019-02-23 18:02:00,"I AM【HyLoMedia (Sun, 24 Feb 2019 08:01:24 +0900)with Googl e Translate】  http://www.hylomedia.net/IN/2019/02/24/i-am%e3%80%90hylomedia-sun-24-feb-2019-080124-0900with-googl-e-translate%e3%80%91/ …"
2019-02-23 17:50:25,Trump iiiighhttttt beer YouTube scared  pizza fake evening at a Windows beer the Ableton  cryptocurrency internet of women of mutant  Googl
2019-02-23 17:35:50,"Latest piece on Alphabet / Google ($GOOG, $GOOGL).  20% growth, $100B net cash, with significant investments in growth (opex and capex).  Video looks at key considerations and #bull, #bear, and #base case scenarios for the stock.  #investing #stocks  -  https://goo.gl/LJpx81 "
2019-02-23 17:30:07,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/iWab30nMeX8  $NFLX $TSLA $AAPL $JWN $GS $FB $AMZN $GOOGL $NVDA
2019-02-23 17:18:05,$AMZN $GOOGL $GOOG:  ‘Little League’ Of Esports Is Going Public:   https://www.StockNewsWires.com/amzn-googl-goog-little-league-of-esports-is-going-public/ …
2019-02-23 17:00:28,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at  http://ow.ly/2nYE30nMeX7  $NVDA $TSLA $GS $REGN $BAC $GOOGL $FB
2019-02-23 16:59:53,$GOOGL BEFORE/AFTER *SHORT  pic.twitter.com/odokJYTuth
2019-02-23 16:59:50,Start this off Like i typically do. Swings Long above the LIS into targets / Short Below the LIS into targets  LIS Changes weekly on Equity Charts -  Factors; Tr3nd/Range/ATR/Supply/Demand  Shown 6/39 $AMZN $BABA $COST $FB $GOOGL $TSLA
2019-02-23 16:31:40,"That is a fair assessment although I believe you are underweighting the factors I identify. To your point, GOOGL current/future investment doing little to expand the return, basically fighting a rearguard action to preserve search monopoly"
2019-02-23 16:30:07,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/5ggO30nMeX6  $NFLX $TSLA $AAPL $BIDU $GS $FB $AMZN $GOOGL $NVDA
2019-02-23 16:27:05,Horrell Capital Management Boosted Holding in Google Cl A $GOOGL as Market Value Declined; Mackenzie Financial Increased Stake in Tenaris S A $TS by $1.38 Million as Share Price Declined   https://yomiblog.com/2019/02/23/horrell-capital-management-boosted-holding-in-google-cl-a-googl-as-market-value-declined-mackenzie-financial-increased-stake-in-tenaris-s-a-ts-by-1-38-million-as-share-price-declined/ …
2019-02-23 16:16:20,"Three ways brands can benefit from adopting voice technology (AAPL, AMZN, GOOGL, MSFT)  https://ift.tt/2FkGqMQ "
2019-02-23 16:15:34,"Three ways brands can benefit from adopting voice technology (AAPL, AMZN, GOOGL, MSFT)  https://read.bi/2qLE6nS "
2019-02-23 16:15:26,"Three ways brands can benefit from adopting voice technology (AAPL, AMZN, GOOGL, MSFT)  pic.twitter.com/KzHay3oPIv"
2019-02-23 16:14:28,"Three ways brands can benefit from adopting voice technology (AAPL, AMZN, GOOGL, MSFT)  https://ift.tt/2FkGqMQ "
2019-02-23 16:14:07,"10 Things To Know. Three ways brands can benefit from adopting voice technology (AAPL, AMZN, GOOGL, MSFT)  https://ift.tt/2FkGqMQ "
2019-02-23 16:11:21,"Three ways brands can benefit from adopting voice technology (AAPL, AMZN, GOOGL, MSFT)  https://ift.tt/2FkGqMQ  johnangel1977"
2019-02-23 16:09:19,"Three ways brands can benefit from adopting voice technology (AAPL, AMZN, GOOGL, MSFT) #website #news  https://ift.tt/2FkGqMQ  pic.twitter.com/jmryAn2ND0"
2019-02-23 16:02:58,googl
2019-02-23 16:00:34,251 Profit-Packed Option Trades Yearly--Delivered to Your Inbox Daily--FREE!  http://ow.ly/S6Ey30nMeX4  $BABA $GOOGL $TSLA $BIDU
2019-02-23 15:30:08,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/DKJX30nMeX3  $NFLX $TSLA $AAPL $PCLN $GS $FB $AMZN $GOOGL $NVDA
2019-02-23 15:24:14,"Got better speakers: amazed. I hear my music in new ways, I was missing 50%! I endorse these JBL 305P MkII 5"" Powered Studio Monitors. Got them from @SweetwaterSound Notice DD supported by Googl in #2 #studiogear #recordingstudio #studio #recording #musicproducer #studiosetup pic.twitter.com/wItf8WzGZX"
2019-02-23 15:23:33,"THE DIGITAL HEALTH ECOSYSTEM: An in-depth examination of the players and tech trends reshaping the future of healthcare (AAPL, IBM, ANTM, GOOGL, MSFT, AMZN, PFE, GE, MCK, TMUS, WMT, WBA, MRK, CVS)  http://bit.ly/2EqnlpT  pic.twitter.com/51qNC39JIe"
2019-02-23 15:11:43,😂😂😂😂خيره الله بس قدرولطف.  👊
2019-02-23 15:11:10,"A new acronym #FANGMAN has been coined to comprise 7 of the leading high techs which, collectively, account for > 50% of S&P500.🔥Which company do you think will perform the best in 2019 (1/1-12/31)?  $FB $AMZN $NFLX $GOOGL $MSFT $AAPL $NVDA  Sorry Twitter allows only 4 options"
2019-02-23 15:00:45,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at  http://ow.ly/sBPs30nMeX2  $NVDA $TSLA $GS $ORCL $BAC $GOOGL $FB
2019-02-23 14:58:59,يسعدمساك مافيش افلام هنديه قول ٱفلام ٱمريكيه واكشن.  😂
2019-02-23 14:39:24,"love how when you type any d!i char's name into googl the first suggestion is usually ""name spoiler"""
2019-02-23 14:31:01,"Weekly Stock Market Review: Week#8  http://messages.responder.co.il/3710245  #stockstowatch $MSFT $MU $NFLX $AAPL $NVDA, #stocks $SPY $DIA $DJIA $QQQ $IWM #trading #investing $AMZN $VIX $DIS $FB, $GOOGL #Amazon #facebook #mocrosoft #google #micron #netflix #NVIDIA"
2019-02-23 14:30:11,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/WlH930nMeX1  $NFLX $TSLA $AAPL $AXP $GS $FB $AMZN $GOOGL $NVDA
2019-02-23 14:29:21,life is easier when youre actually knows a thing cAlled boundaries issa classic thing go on do some research on googl or for exampl like pls dont @ me dont slip in ur dirty ass hands silently on my clean cloth
2019-02-23 14:29:12,🔍Google Maps: Bird Mode:  https://twitter.com/btaylor/status/1099370126678253569 … #google $GOOG $GOOGL #alphabet #TechNews #tech @google #digitaltransformation pic.twitter.com/BhBSjEITPw
2019-02-23 14:24:41,"@nevertoolate2018 @nastynate1 Dont see that at all, but we’ll see. Expand to wkly and flagging into the weekly 20 on googl and 50 on AMZN"
2019-02-23 14:20:41,GOOGL - this will be an interesting one!
2019-02-23 14:01:34,"I AM【HyLoMedia (Sun, 24 Feb 2019 04:01:22 +0900)with Googl e Translate】  http://www.hylomedia.net/IN/2019/02/24/i-am%e3%80%90hylomedia-sun-24-feb-2019-040122-0900with-googl-e-translate%e3%80%91/ …"
2019-02-23 13:58:32,$CQQQ $KWEB $CWEB $FONE $AAPL $EWY $GOOGL $IYZ $IXP https://twitter.com/PressTV/status/1099308812060844034 …
2019-02-23 13:56:38,$EWY $GOOGL  https://twitter.com/PressTV/status/1099321180782243840 …
2019-02-23 13:35:40,Perfect mobile massager now on Google Play !! Super hard vibration !!  https://play.googl #バイブ #バイブレーター #マッサージ
2019-02-23 13:30:12,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/b9XU30nMeWY  $NFLX $TSLA $AAPL $CMG $GS $FB $AMZN $GOOGL $NVDA
2019-02-23 13:27:02,"Google says the built-in microphone it never told Nest users about was 'never supposed to be a secret' (GOOG, GOOGL)  http://dlvr.it/QzXPXY  pic.twitter.com/K3oNf7qbUa"
2019-02-23 13:24:45,Ay hüzünlendim biri vardı burda dm den güzelce dertleşiyoduk kızı sevmiştim sonra derslerim yüzünden bikaç ay ara vermek zorunda kaldım ap i sildim arada googl dan gidiyodum sonra kızdan özür diledim açıkladkm bikaç gün sonra tekrar girdiğimde kız beni engellemişti
2019-02-23 13:22:06,Trade Machine members we just sent:  $GOOGL Profiting From a Short Burst of Being 'Not Bearish' Google  -   http://www.cmlviz.com/2019/02/23/GOOGL/option-backtester-profiting-from-being-not-bearish-google-$googl.html#.XHGPMFA5cPk.twitter …
2019-02-23 13:21:15,"These two companies have the potential to be 10-baggers in the coming 7-10 years. They will have 15-50% pullbacks in the future as NFLX, AMZN, BKNG, and GOOGL did. TLRY and IQ (IQIYI) Discl: hold both long for a very LT."
2019-02-23 13:02:55,"I AM【HyLoMedia (Sun, 24 Feb 2019 03:02:23 +0900)with Googl e Translate】  http://www.hylomedia.net/IN/2019/02/24/i-am%e3%80%90hylomedia-sun-24-feb-2019-030223-0900with-googl-e-translate%e3%80%91/ …"
2019-02-23 13:01:04,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at  http://ow.ly/j7yN30nMeWX  $NVDA $TSLA $GS $AAPL $BAC $GOOGL $FB
2019-02-23 12:55:08,Try our swing trading service built for individuals who want to trade longer-term timeframes around their full-time careers. Find out more here:  http://ow.ly/OzCG30nMffQ  $BIDU $AMZN $GOOGL $V
2019-02-23 12:54:49,"I like that play a lot in large cap stocks $MSFT #GOOGL $AAPLs of the world - lowers cost by a lot, and there isn’t much headline risk that could send these stocks 10-20% higher overnight. $CGC different-could get news overnight and stock is up 20%-those weekly shorts will hurt"
2019-02-23 12:46:41,"The Top 5 Stocks to Buy for 2019 Under $100 @themotleyfool #stocks $AAXN, $AMZN, $T, $CRM, $BRK-A, $S, $VZ, $WMT, $TMUS, $ORCL, $GOOGL, $MDB, $VEEV, $BRK-B, $GOOG https://www.fool.com/investing/2019/01/06/the-top-10-stocks-to-buy-for-2019-under-100.aspx …"
2019-02-23 12:32:58,انته حق مناجمة وهذا الشي عادك جديد عليه  .... كن رجل واطلع باسمك في الأول .
2019-02-23 12:32:00,$GOOGL $FB California Data Privacy Proposal May Give Law Tough New Teeth via http://www.hvper.com/?ref=ftw 
2019-02-23 12:30:10,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/egme30nMeWW  $NFLX $TSLA $AAPL $COST $GS $FB $AMZN $GOOGL $NVDA
2019-02-23 12:09:48,اعملوا ربع الي عمله بن بريك في مواجهة الحوثي  وارمي الباقي للبحر  ...  فعلآ انك كنتاكي اسم على مسمى  .
