date,tweet
2018-07-14 19:59:10,$googl breaking out !!  https://twitter.com/thiruvar/status/1017660684580999168 …
2018-07-14 19:30:08,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/W0HW30kQU7m  $NFLX $TSLA $AAPL $TWTR $GS $FB $AMZN $GOOGL $NVDA
2018-07-14 19:25:05,"With past performance like this, how can you not sign up for a Free 7-day trial to  http://ow.ly/Gjgk30kQUCV ? Winning Option Swing Trades Since 2006  $BABA $GOOGL $TSLA $BIDU"
2018-07-14 19:19:02,@StrikeForceTech $SFOR FIRST TO MARKET CYBERSECURITY PRODUCTS. OWNER AND CREATORS OF OOBA/2FA PATENTS. PROTECT YOUR WALLETS NOW $BTC $ETH $LTC $XRP $ADA $TRX $EOS $AAPL $GOOGL $MSFT $AMZN $AMD $NVDA https://www.apnews.com/4fe9d6e0fe144ab99a16d18bb3497980 …
2018-07-14 19:18:16,@StrikeForceTech $SFOR FIRST TO MARKET CYBERSECURITY PRODUCTS. OWNER AND CREATORS OF OOBA/2FA PATENTS. PROTECT YOUR WALLETS NOW $BTC $ETH $LTC $XRP $ADA $TRX $EOS $AAPL $GOOGL $MSFT $AMZN $AMD $NVDA https://twitter.com/johnsen1wendy/status/1018270736467701760 …
2018-07-14 19:15:58,Ponlo en googl
2018-07-14 19:15:03,"REAL TIME TRADE ALERTS via PRIVATE $TWTR FEED, perfect for people who have FT jobs and trade part-time! $AMZN $NFLX $GOOGL $WIX $GS $FB"
2018-07-14 19:12:01,"I was blown away by how well this $530 #smartphone's camera compared to Google's $650 Pixel 2, the best smartphone camera in the world (GOOG, GOOGL)  @technewstube http://technewstube.com/business-insider/1008346/i-was-blown-away-by-how-well-this-530-phones-camera-compared-to-googles-650-pixel-2-the-best-sm/ …"
2018-07-14 19:00:24,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at  http://ow.ly/BNSj30kQU7l  $NVDA $TSLA $GS $C $WFC $GOOGL $FB
2018-07-14 18:51:02,"The 5 Companies Closest to a 1 #Trillion Market Cap and the Share Prices they Have to Hit to Get There:   #Apple > Needs to hit $203.56  #Amazon > ""  $2,061.07 #Alphabet > ""  $1,441.08 #Microsoft > ""  $130.19 #Facebook > ""  $345.17  $AAPL $AMZN $GOOGL $MSFT $FB #Google"
2018-07-14 18:45:21,Biggest mistake $GOOGL ever made was not acquiring $TWTR. Too late now.
2018-07-14 18:45:04,NOW OFFERING 7 Day FREE Trial to  options day trading team Room or $TWTR feed   http://ow.ly/Gmte30kQUPG  $RH $AAPL $NFLX $TSLA $AMZN $GOOGL
2018-07-14 18:34:05,The first all-electric Jaguar I-PACE SUVs in the US are now part of Waymo's self-driving fleet (GOOGL)  http://bit.ly/2NO3L9P  pic.twitter.com/Oao7lw1cG6
2018-07-14 18:30:07,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/QWUY30kQU7k  $NFLX $TSLA $AAPL $IBB $GS $FB $AMZN $GOOGL $NVDA
2018-07-14 18:27:47,I think FOMO already kicked in with $MSFT $AMZN $GOOGL $FB hitting all time highs this week.
2018-07-14 18:17:50,More USEFUL stuff from $GOOGL  https://twitter.com/futureshift/status/1018256789798834176 …
2018-07-14 18:17:04,"Forget the sex, the hot new book about Google is an important reminder of what Sergey and Larry are really after (GOOG, GOOGL)  http://dlvr.it/QbZLWz  pic.twitter.com/13wmnst3rX"
