date,tweet
2017-10-02 19:48:10,"Expect 50% jump in $TwTR . Long overdue takeover offer(S) are comming 4 #TWITTER  Gem. $MSFT needs it, could be huge loss4 $GOOGL $CRM $AaPL https://twitter.com/InnDeptInvestor/status/914907814077894657 …"
2017-10-02 19:45:36,@smartertrader hope you are watching $GOOGL? If $REGN was fun? Guess what $GOOGL is going to do. $REGN or $NFLX was no surprise today 🚬
2017-10-02 19:36:37,I highly recommend checking this out for discovering great stocks to trade  http://bit.ly/2yqsvgT  $AMZN $GOOGL $GOOG pic.twitter.com/KXFo5w60R5
2017-10-02 19:30:14,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/cLSi30fySlq  $NFLX $TSLA $AAPL $TWTR $GS $FB $AMZN $GOOGL $NVDA
2017-10-02 19:26:35,Updates for long term #options Oct 20 expiry #AMZN #AAPL #BABA #CMG #FB #GOOGL #ISRG #PCLN #REGN and #TSLA. pic.twitter.com/2ZOJVHeVFa
2017-10-02 19:21:58,"Evening Most Tweeted Big Caps, check out Gambiste Top 10: $VZ $GOOGL $WFC $MRK $IBM $JNJ $HD $T $LVS $CMCSA  http://gambiste.com/index.php/2017/10/02/gambiste-top-10-evening-most-tweeted-big-caps-61/ …"
2017-10-02 19:21:27,Google is seeking ways to help publishers attract paying subs for news stories $GOOGL  https://hedgeaccordingly.com/2017/09/google-is-seeking-ways-to-help-publishers-attract-paying-subs-for-news-stories-googl.html?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #internet
2017-10-02 19:15:05,"#Google acaba con su política ""del primer click gratis"" #Tech $GOOGL  https://fin.guru/articulos/c-google-acaba-con-su-politica-del-primer-click-gratis …"
2017-10-02 19:15:04,"REAL TIME TRADE ALERTS via PRIVATE $TWTR FEED, perfect for people who have FT jobs and trade part-time! $AMZN $NFLX $GOOGL $WIX $GS $FB"
2017-10-02 19:14:40,All major indices hit all-time highs -- you knew that.  But did you know: $AAPL $AMZN $FB $GOOGL $NFLX were down today? 'FAANG'   #likefolio
2017-10-02 19:13:18,"4️⃣💻:0️⃣🔼/4️⃣🔽 @ -1.02% Day Ending Mon, Oct 2 ➖➖➖ ➡️📉📦 #AMZN #Amazon -0.22% ↗️📉🔍 #GOOGL #Google…  https://www.instagram.com/p/BZw36kOgZ6I/ "
2017-10-02 19:11:54,👀👀👀👀👀👀👀👀👀👀👀👀👀 $GOOGL  https://twitter.com/mashabletech/status/914990928611377154 …
2017-10-02 19:10:36,Just got Costco deal via Slickdeals via $googl express checkout for 30% off. Physical retail will be dead at this rate pretty soon.  pic.twitter.com/uzxY6tntQE
2017-10-02 19:06:58,"ATTENTION @Google fans.. for the #Pixel2 launch, we're giving away free $GOOGL stock on 10/4. Please RT so your followers grab some  pic.twitter.com/j41oH8wYQr"
2017-10-02 19:05:16,"HI @googlechrome guess what, for the #Pixel2 launch, we're giving away $GOOGL stock on 10/4. Please RT so your followers grab some"
2017-10-02 19:04:54,"YO @Android guess what, for the #Pixel2 launch, we're giving away $GOOGL stock on 10/4. Please RT so your followers grab some"
2017-10-02 19:04:34,"HEY @googlemaps guess what, for the #Pixel2 launch, we're giving away $GOOGL stock on 10/4. Please RT so your followers grab some"
2017-10-02 19:04:12,"@JigsawTeam guess what, for the #Pixel2 launch, we're giving away $GOOGL stock on 10/4. Please RT so your followers grab some"
2017-10-02 19:03:14,"Heyyyy @juliaferraioli - for the #Pixel2 launch, we're giving away $GOOGL stock on 10/4. Please RT so your followers grab some"
2017-10-02 19:02:35,"@felipehoffa guess what, for the #Pixel2 launch, we're giving away $GOOGL stock on 10/4. Please RT so your followers grab some"
2017-10-02 19:00:34,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at  http://ow.ly/fTcv30fySlp  $NVDA $TSLA $GS $C $WFC $GOOGL $FB
2017-10-02 18:57:55,3 Profitable Long Trades Today. $FB +1.42.  $GOOGL +7.  And $AMZN +7.      #GST
2017-10-02 18:51:03,"$GOOGL - Google, Facebook Tackle Misinformation in Wake of Las Vegas Shooting -- Update  http://ih.advfn.com/p.php?pid=nmona&article=75774063&adw=1126416 …"
2017-10-02 18:51:02,"$GOOGL - Google, Facebook Tackle Misinformation in Wake of Las Vegas Shooting -- Update  http://uk.advfn.com/stock-market/NASDAQ/GOOGL/share-news/Google-Facebook-Tackle-Misinformation-in-Wake-of/75774063?adw=1126416 …"
2017-10-02 18:50:24,$GOOGL 17-day prediction $978.59; Street Journal - Oct 2 Who Wants Tax Reform Less; Trend Buy if Up  pic.twitter.com/s9JSNcKj3V
2017-10-02 18:47:09,"$GOOGL - Google, Facebook Tackle Misinformation in Wake of Las Vegas Shooting  http://ih.advfn.com/p.php?pid=nmona&article=75774055&adw=1126416 …"
2017-10-02 18:47:07,"$GOOGL - Google, Facebook Tackle Misinformation in Wake of Las Vegas Shooting  http://uk.advfn.com/stock-market/NASDAQ/GOOGL/share-news/Google-Facebook-Tackle-Misinformation-in-Wake-of/75774055?adw=1126416 …"
2017-10-02 18:46:12,It's not right Fam. #BlackBerry turnaround story should be plastered on Mainstream. Not just my Twitter account. $bbry $aapl $googl #tech pic.twitter.com/bdBae9ku1u
2017-10-02 18:45:05,NOW OFFERING 7 Day FREE Trial to  options day trading team Room or $TWTR feed   http://ow.ly/TBML30fyRRO  $RH $AAPL $NFLX $TSLA $AMZN $GOOGL
2017-10-02 18:32:14,Are you surprised the only FANNG stock that is up the last 10 days is $GOOGL? $FB $NVDA $AMZN $NFLX pic.twitter.com/hQvvqPhCXh
2017-10-02 18:30:10,ACTIVE TRADERS Try one of these FREE trading guides:   http://ow.ly/Xcsl30fySln  $NFLX $TSLA $AAPL $IBB $GS $FB $AMZN $GOOGL $NVDA
2017-10-02 18:18:32,TAX @Apple @Amazon @Facebook @Google  http://www.domainmondo.com/2017/10/big-tech-perfect-storm-apple-amazon.html … #Facebook #Amazon #Apple #Google $AAPL $AMZN $FB $GOOGL $GOOG #investors
2017-10-02 18:11:05,BigTech Perfect Storm @Apple @Amazon @Facebook @Google  http://www.domainmondo.com/2017/10/big-tech-perfect-storm-apple-amazon.html … #Facebook #Amazon #Apple #Google #tax $AAPL $AMZN $FB $GOOGL  pic.twitter.com/GRNhj4FCNq
2017-10-02 18:00:44,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at  http://ow.ly/9VRq30fySlm  $NVDA $TSLA $GS $GILD $BIIB $GOOGL $FB
