emoticon,polarity
:-),1
:),1
:-],1
:],1
:-3,1
:3,1
:->,1
:>,1
8-),1
8),1
:-},1
:},1
:o),1
:c),1
:^),1
=],1
=),1
:-D,2
:D,2
8-D,2
8D,2
x-D,2
xD,2
X-D,2
XD,2
 =D,2
 =3,2
B^D,2
:-)),2
:-(,-1
:(,-1
:-c,-1
:c,-1
:-<,-1
:<,-1
:-[,-1
:[,-1
:-||,-1
>:[,-1
:{,-1
:@,-1
>:(,-1
;(,-1
:'-(,-2
:'(,-2
:'-),2
:'),2
D-':,-2
D:<,-2
D:,-2
D8,-2
D;,-2
D=,-2
DX,-2
:-O,-2
:-O,0
:O,0
:-o,0
:o,0
:-0,0
 8-0,0
>:O,0
:-*,1
:*,1
:x,1
;-),1
;),1
*-),1
*),1
;-],1
;],1
;^),1
":-,",1
;D,1
:-P,1
:P,1
X-P,1
XP,1
x-p,1
xp,1
:-p,1
:p,1
:-b,1
:b,1
d:,1
 =p,1
>:P,1
:-/,-1
:/,-1
:-.,-1
>:\,-1
>:/,-1
:\,-1
=/,-1
 =\,-1
:L,-1
 =L,-1
:S,0
:-|,0
:|,0
:$,0
://),0
://3,0
:-X,0
:X,0
:-#,0
:#,0
:-&,0
:&,0
O:-),1
O:),1
0:-3,1
 0:3,1
0:-),1
0:),1
0;^),1
>:-),1
>:),1
}:-),1
}:),1
3:-),1
3:),1
>;),1
>:3,1
>;3,1
|;-),2
|-O,2
:-J,-1
#-),2
%-),0
%),0
:-###..,-1
:###..,-1
<:-|,0
",:-|",-1
",:-l	",-1
@};-,1
@}->--,1
@}-;-'---,1
@>-->--,1
5:-),0
~:-\,0
*<|:-),0
~(_8^(I),0
=:o],0
7:^],0
",:-)",0
</3,-1
"	<\3",-1
<3,1
><>,0
<*)))-{,0
><(((*>,0
\o/,2
*\0/*,2
//0_0\\,0
v.v,-2
O_O,0
o_o,0
O_o,0
o_O,0
o_o,0
O-O,0
>.<,-2
o/\o,1
>_>^ ^<_<,2
